Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,Diagnosis of mental disorders at 1-6 months ,,SUBGROUP_AND_OVERALL,George 2020,2020,0.0,0.0,0.0,0.0,9,64,0.0,0.0,18,73,0.0,0.0,100.0,0.570313,0.275841,1.179144,Edinburgh Postnatal Depression Scale (EPDS) as proxy,Low risk,"<p>1a.1: PY; 1a.2: PY. Quote: &quot;The 3 sites were allocated to the arms (1,2,3) employing a lottery method by the epidemiologist (G). The outcome assessors and epidemiologist were blind to both the allocation sequence and nature of intervention.&quot;No information on the sequence of randomization and recruitment is provided; it appears all those involved in recruitment were bilnded, it is therefore unlikely that selection was influenced by knowledge of allocation. Baseline characterisitics were comparable across intervention groups. </p><p>1.3: NI. Note: No useful information is reported to evaluate this element</p><p>1b.1: NI - no information on the sequence of randomization and recruitment is provided; 1b.2: PN -  it appears all those involved in recruitment were bilnded, it is therefore unlikely that selection was influenced by knowledge of allocation; 1b.3: N - baseline characterisitics were comparable across intervention groups. </p>",Low risk,<p>2.1a: NI; 2.1b: PY; 2.2: PY. Note: No useful information is reported to evaluate this element</p><p>2.3: PN. Note: No evidence to suggest deviations from the intended intervention that arose because of the trial context </p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. Note: All randomized participants were analyzed.</p><p>2.7: NA.</p><p>Even if participants were most likely aware of allocation there was no evidence to suggest deviations from the trial context. An appropriate analysis to estimate the effect of assignment was conducted.</p>,Low risk,"<p>3.1a PY: all 3 clusters that ecrited participants were analyzed; </p><p>3.1b: PY - n=12 losses occurred over 214 allocated participants (5.6%)</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p><p>Data was available for almost all participants, all 3 clusters were analysed.</p>",Some concerns,"<p>4.1: PN. Note: The outcome measure is widely established and adapted for use in Nepal.</p><p>4.2: PN. Note: No evidence to suggest that.</p><p>4.3a: NI; 4.3b: DISCR. Note: no information provided on whether participants knew that they were in a trial, participants were most likely aware of the group allocation due to the nature of the intervention </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p><p>There is no evidence to suggest that the outcome measure was inappropriate and that measurement could have differed between groups. No information is provided on whether participants were aware that a trial was taking place, but it is likely that they were aware of their assigned intervention. There is no reason to believe that this knowledge would have influenced outcome assessment. </p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods and results were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
1,2,Diagnosis of mental disorders at 7-24 months,,SUBGROUP_AND_OVERALL,Rockers 2018,2018,0.0,0.0,0.0,0.0,25,156,0.0,0.0,40,167,0.0,0.0,100.0,0.669071,0.426823,1.048807, Self-Reporting Questionnaire (SRQ) as proxy,Low risk,<p>1a.1: PY; 1a.2: PY. Quote: &quot;Health zones (clusters) were randomized prior to baseline enrollment with equal probability <br/>1.3: NI. Note: useful information is reported to evaluate this element</p><p>1b.1: N. Note: particpants were recruited after randomization; </p><p>1b.2: PN. Note: there is no evidence to suggest that selection of individual participants was affected by knoweldge of the intervention assigned to the cluster</p><p>1b.3:PN. Note: baseline characteristics were comparable across intervention and control group.</p>,Low risk,"<p>2.1a: NI; 2.1b: PY; 2.2: PY. Note: No information provided on whether participants for which we are analysing the outcome (parents) knew that they were in a trial, due to the nature of the intervention they (as those delivering the intervention) were aware of intervention allocation.</p><p>2.3: PN. Note: No evidence to suggest deviations from the intended intervention that arose because of the trial context.</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: Y. Note: Data was analysed on an intention-to-treat basis.</p><p>2.7: NA</p>",Low risk,<p>3.1a: Y. Note: all 30 clusters that recruited participants were analyzed.</p><p>3.1b: PY. Note: follow up rates osciallted between 82-83% for 12 months and 71-73% at 24 months. No significant differences in attritio between control and intervention. </p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. Note: The outcome measure is widely established and validated for use across different contexts.</p><p>4.2: PN. Note: No evidence to suggest that.</p><p>4.3a: NI; 4.3b: PY. Note: No information provided on whether participants knew that they were in a trial, participants were most likely aware of the group allocation due to the nature of the intervention.</p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods and results were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
1,3,Quality of life at 0-1 months,,SUBGROUP_AND_OVERALL,Duan 2019,2019,0.0,0.0,-3.99,0.51,0,19,-3.43,0.77,0,19,0.0,0.0,12.206836,-0.8395,-1.505913,-0.173086,Brief Inventory of Thriving (BIT) ,Some concerns,<p>1.1: PY; 1.2: NI.  Quote: &quot;Randomization<br/>was conducted through computer random number<br/>generators.&quot;</p><p>1.3: PN.  Quote: &quot;no significant difference<br/>in the preassessment variables between the two groups&quot;</p>,Some concerns,<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention participants and personnel were most likely aware of allocation</p><p>2.3: PN.  Note: No evidence to suggest issues to implement intervention</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: NI. Note: No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for participants whose follow-up data was available (73%)</p><p>2.7: PN.  No evidence to suggest analysis in the wrong group or exclusion of participants that could have had a substantial impact on the results</p>,Some concerns,"<p>3.1: PN.  Note: Out of the 52 randomized participants, 14 (27%) were lost at follow-up (1 week after intervention). At post-intervention, the rate was of 21%.</p><p>3.2: PN.  Note: No information to suggest that results were not biased by missing outcome data. </p><p>3.3: PY. Note: Missing data occurred for reasons that could be related to at least one of the assessed outcomes.The dropouts were balanced across comparison groups. Quote: &quot;the dropout rate was 27% because<br/>the data were collected by means of online questionnaire and a<br/>few students forgot to complete the measures in time&quot;. </p><p>3.4: PN.</p>",High risk,"<p>4.1: N. Note: The selected outcome method (BIT) is established, validated for the local context, and assessed in its psychometric properties for this sample. </p><p>4.2: PY. Note: It appears that different data collection methods were used at post-intervention for the control and intervention group. Quote: &quot;At the end of the lesson, the intervention group was<br/>asked to fill out the postintervention test immediately, and<br/>the data of control group were obtained through online<br/>questionnaires within the same day.&quot;</p><p>4.3: NA. Note: Outcome assessors (participants) were most likely aware of intervention allocation.</p><p>4.4: NA.</p><p>4.5: NA. </p>",Some concerns,<p>5.1: NI.  Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p><p>5.2: NI. Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p><p>5.3: NI. Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p>,High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (4).</p>
1,3,Quality of life at 0-1 months,,SUBGROUP_AND_OVERALL,Hendriks 2019,2019,0.0,0.0,-3.78,0.96,0,80,-3.49,0.94,0,78,0.0,0.0,27.757753,-0.303735,-0.617452,0.009981,Total Score of the Mental Health Continuum—Short Form (MHC-SF),Low risk,"<p>1.1: Y; 1.2: PY. Note: Quote: &quot;Participants were randomly assigned to either the intervention<br/>group (n = 87) or the wait-list control group<br/>(n = 86), using the online program research randomizer<br/>(https://www.randomizer.org).&quot;; &quot;At the end of the session they received a sealed opaque<br/>envelope containing their given group number, which<br/>corresponded to one of the conditions. This procedure<br/>was performed by a different independent party to maximize<br/>allocation concealment.&quot;</p><p>1.3: PN. Quote: &quot;No<br/>significant differences of socio-demographics between<br/>groups were found, except for gender and ethnicity,<br/>with an overrepresentation of male participants from<br/>Javanese descent in the intervention group.&quot;</p><p> </p>",Low risk,"<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention participants and personnel were most likely aware of allocation. </p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention.</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: Y. Quote: &quot;Of the 173 randomized participants, 15 did not attend the<br/>baseline assessment due to work-related scheduling conflicts.<br/>These absences were unrelated to the randomization<br/>itself and were the result of workflow processes, not<br/>individual volition. Due to these initial drop-outs,<br/>a modified intention-to-treat (mITT) analysis was used&quot;</p><p>2.7: NA.</p>",Low risk,"<p>3.1: PY. Quote: &quot;In total, 158 participants completed the baseline assessment<br/>and started the intervention, 144 (91%) participants<br/>completed the post-test at seven weeks, and 120<br/>(76%) the three month follow-up assessment.&quot;</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>",Some concerns,"<p>4.1: PN. Quote: &quot;Cronbach’s alpha in the present study was<br/>.89 at pretest, .92 at post-test, and .94 at follow-up.&quot;</p><p>4.2: PN. Note: no evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation. The investigators in the trial were blinded. </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PN. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: no evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods and results were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
1,3,Quality of life at 0-1 months,,SUBGROUP_AND_OVERALL,Hirani 2018,2018,0.0,0.0,-77.5,14.33,0,60,-74.58,14.18,0,60,0.0,0.0,24.968224,-0.203533,-0.562328,0.155263,World Health Organization Quality-of-Life Scale (WHOQOL-BREF),Low risk,"<p>1.1: Y; 1.2: Y.  Quote: &quot;All women were randomly assigned to either the intervention(n = 60) or the control group (n = 60) using acomputer random number generator program. The randomnumbers were generated prior to recruitment and placed inconsecutively numbered, sealed, opaque envelopes by thefirst author and given to the CHW. To minimize the risk ofbias, the first author was not involved in participantrecruitment or allocation to group&quot;</p><p>1.3: N. Quote: &quot;There were no statistically significant differences in thedemographic characteristics of participants in the interventionand control groups&quot;</p>",High risk,"<p>2.1: PY; 2.2: PY. Note:Due to the nature of the intervention participants and personnel were most likely aware of allocation. Community health workers responsible for data collection were blinded. </p><p>2.3: PY; 2.4: PY. Quote: &quot;Women in the control group also showed slightimprovements in their post-intervention mean scores ofresilience and QOL measures. It is possible that the singlesession on mental health awareness offered to the controlgroup provided the women with an opportunity to meetwith other women and to talk about issues affecting theirmental health&quot;</p><p>2.5: PN. Note: This changes affect the control participants, hence they are not balanced across groups. </p><p>2.6: Y. Quote: &quot;All analyses were performed based on intent-to-treat&quot;</p><p>2.7: NA.</p>",Low risk,<p>3.1: Y.  Quote: &quot;All analyses were performed based on intent-to-treat&quot;</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: N. Note: The selected outcome method (WHOQOL-BREF) is widely validated and established, appropriate for the local context, and demonstrated good psychometric properties for this sample. </p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation. CHWs collecting data were blinded.</p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p>",Low risk,"<p>5.1: PY. Note: no evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods are reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (2).</p>
1,3,Quality of life at 0-1 months,,SUBGROUP_AND_OVERALL,Latina 2019,2019,0.0,0.0,-2.39,1.0,0,193,-2.41,1.1,0,175,0.0,0.0,35.067187,0.019032,-0.185558,0.223621,Short Form Health Survey (SF-36),Low risk,<p>1.1: PY; 1.2: PY: Quote: &quot;Individuals were then randomized in a 1:1 allocation to<br/>the peer group intervention or the self-management<br/>control group stratified by parish; the stratification<br/>preventing imbalance between the treatment groups in<br/>each parish&quot;</p><p>1.3: PN. Note: Baseline characteristics are comparable across groups. Formal testing is reported for non-demographic characteristics only. </p>,Low risk,<p>2.1:Y; 2.2:Y. Note: The trial was open label</p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention</p><p>2.4: NA.</p><p>2.5: NA. </p><p>2.6: PY. Quote: &quot;A complete-case intention-to-treat analysis was performed as main analysis&quot;</p><p>2.7: NA. </p>,Low risk,<p>3.1: PY. Note: 34 out of the 402 randomized participants were lost at follow-up (8.45%)</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. Note: The selected outcome method is widely validated and established.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3:PY . Note: Outcome assessors (participants) were most likely aware of intervention allocation. </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",High risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PY. Note: The outcomes mentioned in the NCT protocol are reported in the manuscript, but aggregated differently (instead of a Composite GHP outcomes health score including QoL, the latter was presented independently as a secondary outcome. CV health was also reported differently than planned, with the Fuster-BEWAT<br/>score)</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (5).</p>
1,4,Quality of life at 7-24 months ,,SUBGROUP_AND_OVERALL,Zhou 2010,2010,0.0,0.0,-74.7,18.1,0,122,-67.4,19.4,0,100,0.0,0.0,100.0,-7.3,-12.277277,-2.322723,Short Form Health Survey (SF-36),Low risk,<p>1a.1: PY; 1a.2: PY. Quote: &quot;Towns or villages were randomly selected and assigned using a random<br/>number table. For&quot;</p><p>1.3: NI. No useful information is reported to evaluate this element.</p><p>1b.1: N. particpants were recruited after randomization;</p><p>1b.2: PY. significant baseline differences were observed for more than hald of the varaibles assessed. Overall: Some concerns</p>,Some concerns,"<p>2.1a: NI; 2.1b: PY; 2.2: PY. Note: No information provided on whether participants knew that they were in a trial, due to the nature of the intervention they (as those delivering the intervention) were most likely aware of intervention allocation.</p><p>2.3: PN. Note: No evidence to suggest deviations from the intended intervention that arose because of the trial context </p><p>2.4: NA.</p><p>2.5: NA. </p><p>2.6: NI. Note: Not enough information provided to give a judjment on this item</p><p>2.7: PN. Note: No evidence to suggest that failure to analyzed participants in randomized groups could a substantial impact on the results</p>",Low risk,<p>3.1a: PY: Note: no evidence to suggest cluster loss; </p><p>3.2b: PY. Note: data were avaiable for almost all</p><p>3.2: NA.</p><p>3.3: NA.</p>,Some concerns,"<p>4.1: PN. Note: The selected outcome method  is widely validated and established across for use across different contexts</p><p>4.2: PN. Note: No evidence to suggest that.</p><p>4.3a: NI; 4.3b:PY . Note: No information provided on whether participants knew that they were in a trial, participants were most likely aware of the group allocation due to the nature of the intervention </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported. </p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in two domains (2 and 4), but not to be at high risk of bias for any domain.</p>"
1,5,Depressive symptoms at 0-1 months,,SUBGROUP_AND_OVERALL,Duan 2019,2019,0.0,0.0,1.19,0.27,0,19,1.64,0.67,0,19,0.0,0.0,23.706585,-0.862517,-1.530586,-0.194447,Depression Anxiety Stress Scale (DASS-21),Some concerns,<p>1.1: PY; 1.2: NI.  Quote: &quot;Randomization<br/>was conducted through computer random number<br/>generators.&quot;</p><p>1.3: PN.  Quote: &quot;no significant difference<br/>in the preassessment variables between the two groups&quot;</p>,Some concerns,<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention participants and personnel were most likely aware of allocation</p><p>2.3: PN.  Note: No evidence to suggest issues to implement intervention</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: NI. Note: No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for participants whose follow-up data was available (73%)</p><p>2.7: PN.  Note: No evidence to suggest analysis in the wrong group or exclusion of participants that could have had a substantial impact on the results</p>,Some concerns,"<p>3.1: PN.  Note: Out of the 52 randomized participants, 14 (27%) were lost at follow-up (1 week after intervention). At post-intervention, the rate was of 21%.</p><p>3.2: PN.  Note: No information to suggest that results were not biased by missing outcome data. </p><p>3.3: PY. Note: Missing data occurred for reasons that could be related to at least one of the assessed outcomes.The dropouts were balanced across comparison groups. Quote: &quot;the dropout rate was 27% because<br/>the data were collected by means of online questionnaire and a<br/>few students forgot to complete the measures in time&quot;. </p><p>3.4: PN.</p>",High risk,"<p>4.1: N. Note: The selected outcome method (BIT) is established, validated for the local context, and assessed in its psychometric properties for this sample. </p><p>4.2: PY. Note: It appears that different data collection methods were used at post-intervention for the control and intervention group. Quote: &quot;At the end of the lesson, the intervention group was<br/>asked to fill out the postintervention test immediately, and<br/>the data of control group were obtained through online<br/>questionnaires within the same day.&quot;</p><p>4.3: NA. Note: Outcome assessors (participants) were most likely aware of intervention allocation.</p><p>4.4: NA.</p><p>4.5: NA. </p>",Some concerns,<p>5.1: NI.  Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p><p>5.2: NI. Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p><p>5.3: NI. Note: Information provided is insufficient to make a judgment on this item as a specific method section for statistical procedures is missing.</p>,High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (4).</p>
1,5,Depressive symptoms at 0-1 months,,SUBGROUP_AND_OVERALL,Hendriks 2019,2019,0.0,0.0,1.5,0.33,0,80,1.64,0.41,0,78,0.0,0.0,38.204452,-0.374889,-0.689563,-0.060215,Depression Anxiety Stress Scale (DASS-21),Low risk,"<p>1.1: Y; 1.2: PY. Note: Quote: &quot;Participants were randomly assigned to either the intervention<br/>group (n = 87) or the wait-list control group<br/>(n = 86), using the online program research randomizer<br/>(https://www.randomizer.org).&quot;; &quot;At the end of the session they received a sealed opaque<br/>envelope containing their given group number, which<br/>corresponded to one of the conditions. This procedure<br/>was performed by a different independent party to maximize<br/>allocation concealment.&quot;</p><p>1.3: PN. Quote: &quot;No<br/>significant differences of socio-demographics between<br/>groups were found, except for gender and ethnicity,<br/>with an overrepresentation of male participants from<br/>Javanese descent in the intervention group.&quot;</p><p> </p>",Low risk,"<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention participants and personnel were most likely aware of allocation. </p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention.</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: Y. Quote: &quot;Of the 173 randomized participants, 15 did not attend the<br/>baseline assessment due to work-related scheduling conflicts.<br/>These absences were unrelated to the randomization<br/>itself and were the result of workflow processes, not<br/>individual volition. Due to these initial drop-outs,<br/>a modified intention-to-treat (mITT) analysis was used&quot;</p><p>2.7: NA.</p>",Low risk,"<p>3.1: PY. Quote: &quot;In total, 158 participants completed the baseline assessment<br/>and started the intervention, 144 (91%) participants<br/>completed the post-test at seven weeks, and 120<br/>(76%) the three month follow-up assessment.&quot;</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>",Some concerns,"<p>4.1: PN. Quote: &quot;Cronbach’s alpha in the present study was<br/>.89 at pretest, .92 at post-test, and .94 at follow-up.&quot;</p><p>4.2: PN. Note: no evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation. The investigators in the trial were blinded. </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PN. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: no evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods and results were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
1,5,Depressive symptoms at 0-1 months,,SUBGROUP_AND_OVERALL,Yusoff 2015,2015,0.0,0.0,4.85,6.05,0,73,4.36,4.97,0,80,0.0,0.0,38.088963,0.088464,-0.228935,0.405862,Beck’s Depression Inventory (BDI),Low risk,"<p>1.1: PY ; 1.2: PY.  Quote: &quot;We performed random selection by Statistical Package for Social Sciences (SPSS) version 18&quot;. Quote: &quot;We preformed stratified randomization method to allocate the consenting students into intervention and control groups by draw lots&quot;</p><p>1.3: N. Quote: &quot;At baseline, the intervention and control groups were equal except for active coping and denial. Even though there is no significant difference between the study groups, the baseline scores were controlled during the statistical analysis.&quot;</p>",Low risk,"<p>2.1: PY; 2.2: PY.  Note: Due to the nature of the intervention participants and personnel were most likely aware of allocation</p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. Note: No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for participants whose data was available at follow-up (153 out of 171, 89.5%).</p><p>2.7: NA.</p>",Low risk,<p>3.1: PY.  Note: Data was missing for 10.5% of the randomized participants (18 out of 153)</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN.  Note: The selected outcome method (BDI) is well established and validated across contexts. </p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation.</p><p>4.4: PY. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN. </p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods are reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
