status,topic_slug,topic,study,csv_row_numbers,output
completed,Adverse_event,Adverse events,Acarturk 2022,81,data/human_review_structured/Adverse_event/Acarturk 2022/Acarturk 2022.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Acarturk 2022,90;267;309,data/human_review_structured/Depressive0_1/Acarturk 2022/Acarturk 2022.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Acarturk 2022,108;279;333,data/human_review_structured/Depressive1_6/Acarturk 2022/Acarturk 2022.json
completed,Diagnosis0_1,Diagnosis of mental disorders at 0-1 months,Acarturk 2022,57,data/human_review_structured/Diagnosis0_1/Acarturk 2022/Acarturk 2022.json
completed,Diagnosis1_6,Diagnosis of mental disorders at 1-6 months,Acarturk 2022,60,data/human_review_structured/Diagnosis1_6/Acarturk 2022/Acarturk 2022.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Acarturk 2022,138;290;350,data/human_review_structured/PTSD0_1/Acarturk 2022/Acarturk 2022.json
completed,PTSD1_6,Distress/PTSD symptoms at 1-6 months,Acarturk 2022,157,data/human_review_structured/PTSD1_6/Acarturk 2022/Acarturk 2022.json
completed,Psycho0_1,Psychological functioning and impairment at 0-1 months,Acarturk 2022,82,data/human_review_structured/Psycho0_1/Acarturk 2022/Acarturk 2022.json
completed,Psycho1_6,Psychological functioning and impairment at 1-6 months,Acarturk 2022,86,data/human_review_structured/Psycho1_6/Acarturk 2022/Acarturk 2022.json
completed,QOL0_1,Quality of life at 0-1 months,Acarturk 2022,68,data/human_review_structured/QOL0_1/Acarturk 2022/Acarturk 2022.json
completed,QOL1_6,Quality of life at 1-6 months,Acarturk 2022,76,data/human_review_structured/QOL1_6/Acarturk 2022/Acarturk 2022.json
completed,QOL0_1,Quality of life at 0-1 months,Ager 2011,200,data/human_review_structured/QOL0_1/Ager 2011/Ager 2011.json
completed,Psycho0_1,Psychological functioning and impairment at 0-1 months,Amador Buenabad 2020,180,data/human_review_structured/Psycho0_1/Amador Buenabad 2020/Amador Buenabad 2020.json
completed,Social0_1,Social outcomes at 0-1 months,Amador Buenabad 2020,194,data/human_review_structured/Social0_1/Amador Buenabad 2020/Amador Buenabad 2020.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Annan 2017,202,data/human_review_structured/Depressive0_1/Annan 2017/Annan 2017.json
completed,Psycho0_1,Psychological functioning and impairment at 0-1 months,Annan 2017,201,data/human_review_structured/Psycho0_1/Annan 2017/Annan 2017.json
